value,rank,id,name,long_name
0.413,5,1,A,A - Dolor est non tempora labore
0.696,9,2,B,B - Modi sed consectetur modi tempora neque ipsum eius
0.381,4,3,C,C - Quisquam non labore magnam tempora non numquam non
0.545,7,4,D,D - Neque velit est est eius non consectetur
0.245,1,5,E,E - Ipsum sed labore quiquia dolor dolorem dolor
0.522,6,6,F,F - Consectetur numquam quiquia sit quaerat quiquia quiquia velit
0.271,3,7,G,G - Dolore aliquam numquam aliquam quaerat dolorem non
0.944,12,8,H,H - Ipsum amet aliquam amet dolorem quaerat neque
0.824,11,9,I,I - Tempora non amet dolor sit labore
0.602,8,10,J,J - Modi neque dolor neque
0.261,2,11,K,K - Velit neque magnam neque
0.806,10,12,L,L - Quiquia tempora labore dolor consectetur labore
