value,rank,id,name,long_name
0.865,15,1,A,A - Adipisci adipisci dolor etincidunt numquam numquam tempora magnam
0.435,10,2,B,B - Sit labore non sit dolor numquam eius quiquia
0.658,13,3,C,C - Dolore quiquia neque velit
0.349,8,4,D,D - Sed dolore porro quisquam modi
0.994,16,5,E,E - Non quisquam ipsum sit sit quisquam numquam magnam
0.009,3,6,F,F - Est consectetur dolorem etincidunt eius porro ut voluptatem
0.469,11,7,G,G - Sed est sed velit est dolore
0.248,7,8,H,H - Aliquam ipsum porro quisquam dolore ipsum non eius
0.128,5,9,I,I - Est dolore amet sit
0.761,14,10,J,J - Est magnam porro sit modi neque tempora
0.043,4,11,K,K - Non ut tempora non magnam voluptatem aliquam tempora
0.495,12,12,L,L - Magnam quisquam numquam ut magnam
0.362,9,13,M,M - Magnam quaerat dolor etincidunt dolorem
0.222,6,14,N,N - Neque ipsum est ipsum sed dolorem magnam labore
0.002,2,15,O,O - Ipsum voluptatem adipisci dolor aliquam porro est etincidunt
0.002,2,16,P,P - Sit eius consectetur labore quisquam magnam velit est
